POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
25 25 GINGER RIDGE A/A,15,23,,,,0,38,48.72%,78,ST. CATHERINE WEST CENTRAL (59),GINGER RIDGE (25),
26 26 GINGER RIDGE A/A,23,34,,,,2,59,51.30%,115,ST. CATHERINE WEST CENTRAL (59),GINGER RIDGE (25),
27 27 KENTISH A/A SCHANGLICAN PREMISES,25,28,,,,0,53,34.42%,154,ST. CATHERINE WEST CENTRAL (59),GINGER RIDGE (25),
28 28 KENTISH A/A SCHANGLICAN PREMISES,25,36,,,,1,62,40.00%,155,ST. CATHERINE WEST CENTRAL (59),GINGER RIDGE (25),
29 29 GARDEN HILL A/A,31,139,,,,3,173,51.18%,338,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
30 30 JUAN DE BOLAS PRIMARY,4,24,,,,1,29,48.33%,60,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
31 31 POINT HILL JUNIOR HIGH,37,28,,,,1,66,38.82%,170,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
32 32 POINT HILL JUNIOR HIGH,41,38,,,,2,81,47.65%,170,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
33 33 POINT HILL JUNIOR HIGH,74,20,,,,2,96,44.65%,215,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
34 34 DUXES BASIC SCH.,78,57,,,,2,137,45.51%,301,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
35 35 DUXES BASIC SCH.,74,47,,,,1,122,51.48%,237,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
36 36 POINT HILL JUNIOR HIGH,58,107,,,,1,166,51.55%,322,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
37 37A POINT HILL JUNIOR HIGH,25,71,,,,2,98,45.37%,216,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
37 37B POINT HILL JUNIOR HIGH,41,74,,,,2,117,53.92%,217,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
38 38 POINT HILL JUNIOR HIGH,10,51,,,,1,62,39.24%,158,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
39 39 GARDEN HILL A/A,14,63,,,,0,77,50.00%,154,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
40 40 RENNALS BAPTIST CHURCH,18,113,,,,5,136,55.28%,246,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
41 41 OLD WORKS BASIC,12,120,,,,0,132,51.76%,255,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
42 42 WATERMOUNT A/A SCH.,16,114,,,,1,131,54.36%,241,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
43 43 WATERMOUNT A/A SCH.,12,121,,,,2,135,52.53%,257,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
44 44 UNITY BASIC SCH.,28,75,,,,3,106,50.96%,208,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
45 45 UNITY BASIC SCH.,27,100,,,,3,130,44.83%,290,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
46 46 S.D.A BASIC SCHOOL,34,103,,,,1,138,44.37%,311,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
47 47 S.D.A BASIC SCHOOL,49,123,,,,2,174,42.96%,405,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
48 48 CHURCH OF CHRIST,26,55,,,,1,82,57.75%,142,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
49 49 S.D.A BASIC SCHOOL,19,63,,,,3,85,50.60%,168,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
50 50 BUXTON TOWN BAPTIST,35,103,,,,5,143,49.14%,291,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
51 51A WAKEFIELD S.D.A,46,55,,,,2,103,46.82%,220,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
51 51B WAKEFIELD S.D.A,51,52,,,,0,103,46.82%,220,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
52 52 WAKEFIELD PRIMARY,25,84,,,,1,110,43.82%,251,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
53 53 WAKEFIELD PRIMARY,7,79,,,,0,86,43.00%,200,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
54 54 S.D.A BASIC SCHOOL,4,35,,,,0,39,54.93%,71,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
55 55 BACK PASTURE BASIC,53,108,,,,2,163,43.70%,373,ST. CATHERINE WEST CENTRAL (59),POINT HILL (26),
56 56 BACK PASTURE BASIC,28,95,,,,3,126,46.84%,269,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
57 57 GUANABOA VALE A/A,57,77,,,,2,136,54.62%,249,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
58 58 DOVER BASIC SCHOOL,73,89,,,,2,164,57.34%,286,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
59 59 ACKLES HILL BASIC SCH.,28,77,,,,3,108,47.37%,228,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
60 60 ACKLES HILL BASIC SCH.,42,132,,,,3,177,48.10%,368,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
61 61 ACKLES HILL BASIC SCH.,43,90,,,,0,133,39.94%,333,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
62 62 CHURCH OF GOD SEVENTH DAY FELLOWSHIP,31,33,,,,1,65,43.92%,148,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
63 63A CHURCH OF GOD SEVENTH DAY FELLOWSHIP,38,67,,,,1,106,50.00%,212,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
63 63B CHURCH OF GOD SEVENTH DAY FELLOWSHIP,38,72,,,,1,111,52.36%,212,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
64 64 KITSON TOWN A/A SCH.,82,80,,,,2,164,52.90%,310,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
65 65 KITSON TOWN A/A SCH.,29,67,,,,1,97,44.29%,219,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
66 66 KITSON TOWN A/A SCH.,67,118,,,,3,188,47.12%,399,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
67 67A KITSON TOWN A/A SCH.,44,53,,,,1,98,45.58%,215,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
67 67B KITSON TOWN A/A SCH.,27,51,,,,0,78,36.28%,215,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
68 68A KITSON TOWN A/A SCH.,46,53,,,,1,100,45.66%,219,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
68 68B KITSON TOWN A/A SCH.,32,54,,,,0,86,39.27%,219,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
69 69 KITSON TOWN A/A SCH.,97,98,,,,2,197,48.28%,408,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
70 70 OLD ROAD BASIC SCHOOL,26,48,,,,0,74,42.05%,176,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
71 71 GUANABOA VALE A/A,75,39,,,,0,114,48.51%,235,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
72 72 CHURCH OF GOD OF PROPHECY,63,60,,,,0,123,51.04%,241,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
73 73 GEORGE JAMES' PREMISES,31,50,,,,1,82,42.93%,191,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
74 74 PAUL MOUNTAIN PRIMARY,12,28,,,,2,42,56.00%,75,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
75 75 DONNA PRYCE'S PREMISES,48,56,,,,0,104,48.83%,213,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
76 76 PAUL MOUNTAIN  PRIMARY,27,26,,,,1,54,50.00%,108,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
77 77 PAUL MOUNTAIN PRIMARY,44,78,,,,4,126,51.22%,246,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
78 78 OLD ROAD BASIC SCHOOL,19,26,,,,1,46,34.33%,134,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
79 79 KITSON TOWN A/A SCH.,52,65,,,,1,118,40.41%,292,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
80 80 KITSON TOWN A/A SCH.,36,94,,,,3,133,46.50%,286,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
81 81A KITSON TOWN A/A SCH.,83,106,,,,1,190,77.87%,244,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
EPM 81 81B KITSON TOWN A/A SCH.,38,55,,,,4,97,39.75%,244,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
82 82A BENDON BASIC SCH.,37,68,,,,1,106,42.91%,247,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
82 82B BENDON BASIC SCH.,44,74,,,,1,119,48.18%,247,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
83 83 BENDON BASIC SCH.,37,113,,,,3,153,41.35%,370,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
EPM 84 84 KITSON TOWN A/A SCH.,178,299,,,,1,478,251.58%,190,ST. CATHERINE WEST CENTRAL (59),RED HILLS (27),
85 85A GREEN ACRES COMMUNITY CENTRE 43,43,58,,,,1,102,46.36%,220,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
85 85B GREEN ACRES COMMUNITY CENTRE 34,34,70,,,,1,105,47.51%,221,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
86 86 GREEN ACRES COMMUNITY CENTRE 66,66,112,,,,1,179,46.02%,389,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
87 87 ASSEMBLY CHURCH OF GOD 59,59,93,,,,7,159,41.09%,387,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
88 88 EBONY VALE COMM. CENTRE 32,32,84,,,,4,120,37.15%,323,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
89 89 EBONY VALE COMM. CENTRE 11,11,48,,,,2,61,36.75%,166,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
90 90A EBONY VALE COMM. CENTRE 47,47,67,,,,1,115,46.00%,250,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
90 90B EBONY VALE COMM. CENTRE 33,33,78,,,,4,115,45.82%,251,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
91 91 EBONY VALE COMM. CENTRE 12,12,32,,,,1,45,55.56%,81,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
92 92A FRIENDSHIP PRIMARY SCH. 26,26,82,,,,1,109,44.67%,244,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
92 92B FRIENDSHIP PRIMARY SCH. 23,23,75,,,,3,101,41.22%,245,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
93 93 FRIENDSHIP PRIMARY SCH. 28,28,97,,,,2,127,37.35%,340,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
94 94 FRIENDSHIP PRIMARY SCH. 40,40,55,,,,0,95,34.80%,273,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
95 95A CHURCH OF GOD OF PROPHECY 26,26,102,,,,3,131,51.98%,252,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
95 95B CHURCH OF GOD OF PROPHECY 26,26,94,,,,2,122,48.22%,253,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
96 96 CHURCH OF GOD OF PROPHECY 32,32,113,,,,4,149,50.51%,295,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
97 97 CHURCH OF GOD OF PROPHECY 52,52,101,,,,2,155,45.72%,339,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
98 98A NEW HORIZON BASIC SCHOOL 41,41,110,,,,9,160,49.84%,321,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
98 98B NEW HORIZON BASIC SCHOOL 50,50,110,,,,10,170,52.96%,321,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
99 99A TRIUMPHANT GENERAL BAPTIST 50,50,75,,,,3,128,48.85%,262,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
99 99B TRIUMPHANT GENERAL BAPTIST 41,41,66,,,,1,108,41.06%,263,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
100 100A TRIUMPHANT GENERAL BAPTIST 32,32,62,,,,3,97,43.50%,223,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
100 100B TRIUMPHANT GENERAL BAPTIST 51,51,61,,,,0,112,50.00%,224,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
101 101A EBONY VALE BAPTIST 29,29,83,,,,3,115,37.22%,309,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
101 101B EBONY VALE BAPTIST 29,29,81,,,,1,111,35.81%,310,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
102 102 INTERNATIONAL FIRST BORN CHURCH OF THE LIVING G2O0D,20,62,,,,3,85,32.44%,262,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
103 103A EBONY VALE BAPTIST 31,31,63,,,,2,96,44.44%,216,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
103 103B EBONY VALE BAPTIST 17,17,57,,,,0,74,34.26%,216,ST. CATHERINE WEST CENTRAL (59),BELLEVUE (28),
,,,,,,,,,,,,
POLLING STATION LOCATION,JLP Campbell Leslie Roy,PNP Mitchell Phyllis M.,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 MIDDLESEX BASIC SCHOOL,104,45,,,,0,149,57.53%,259,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
2 2 MIDDLESEX BASIC SCHOOL,84,74,,,,5,163,42.78%,381,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
3 3 MT. NEBO PRIMARY SCHOOL,60,43,,,,1,104,43.33%,240,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
4 4 GUYS HILL WELFARE,36,48,,,,0,84,39.25%,214,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
5 5 GUYS HILL HIGH SCHOOL,87,22,,,,1,110,50.93%,216,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
6 6 GUYS HILL HIGH SCHOOL,71,48,,,,0,119,45.77%,260,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
7 7 SEAFIELD PRIMARY SCHOOL,101,58,,,,3,162,48.80%,332,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
8 8 GUYS HILL TOWN HALL,25,31,,,,2,58,47.15%,123,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
9 9 GUYS HILL TOWN HALL,57,53,,,,1,111,51.39%,216,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
10 10 GUYS HILL TOWN HALL,23,28,,,,0,51,37.50%,136,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
11 11 GUYS HILL BASIC SCHOOL,61,51,,,,0,112,43.08%,260,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
12 12 GUYS HILL BASIC SCHOOL,70,67,,,,3,140,45.02%,311,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
13 13 MT. NEBO PRIMARY SCHOOL,72,47,,,,1,120,52.17%,230,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
14 14 MT. NEBO PRIMARY SCHOOL,46,24,,,,1,71,49.31%,144,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
15 15 BONNETT PRIMARY SCHOOL,118,55,,,,2,175,51.62%,339,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
16 16 BONNETT PRIMARY SCHOOL,34,36,,,,0,70,47.95%,146,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
17 17 BERMADDY BAPTIST CHURCH CLASS HOUSE,67,28,,,,1,96,47.06%,204,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
18 18 MT. PASS BIBLE TRUE CHURCH,140,57,,,,1,198,53.66%,369,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
19 19A CHEESEFIELD COMMUNITY CENTRE,73,42,,,,1,116,47.15%,246,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
19 19B CHEESEFIELD COMMUNITY CENTRE,65,42,,,,0,107,43.32%,247,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
20 20 CHEESEFIELD COMMUNITY CENTRE,140,37,,,,1,178,46.35%,384,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
21 21A WALLENS BASIC SCHOOL,110,21,,,,5,136,62.67%,217,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
21 21B WALLENS BASIC SCHOOL,99,15,,,,0,114,52.53%,217,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
22 22 WALLENS BASIC SCHOOL,63,101,,,,0,164,45.05%,364,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
23 23 REDWOOD PRIMARY SCHOOL,25,129,,,,0,154,58.11%,265,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
24 24 REDWOOD PRIMARY SCHOOL,29,130,,,,3,162,51.92%,312,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
25 25 REDWOOD PRIMARY SCHOOL,62,120,,,,0,182,54.33%,335,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
26 26 BERKSHIRE HALL GOSPEL HALL CHURCH,20,26,,,,0,46,60.53%,76,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
27 27 MT. NEBO PRIMARY SCHOOL,31,44,,,,1,76,47.80%,159,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
28 28 MT. NEBO PRIMARY SCHOOL,103,46,,,,2,151,49.51%,305,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
29 29 JUBILEE TOWN PRIMARY SCHOOL,40,35,,,,0,75,49.34%,152,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
30 30 JUBILEE TOWN PRIMARY SCHOOL,19,43,,,,1,63,50.40%,125,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
31 31 JUBILEE TOWN PRIMARY SCHOOL,63,19,,,,0,82,58.16%,141,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
32 32 CEDAR VALLEY PRIMARY SCHOOL,45,71,,,,1,117,58.79%,199,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
33 33 JUBILEE TOWN PRIMARY SCHOOL,33,40,,,,0,73,48.34%,151,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
34 34A TREADWAYS COMMUNITY CENTRE,50,45,,,,1,96,42.67%,225,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
34 34B TREADWAYS COMMUNITY CENTRE,53,49,,,,0,102,45.13%,226,ST. CATHERINE NORTH EASTERN (60),GUYS HILL (29),
35 35 HAMWALK PRIMARY SCHOOL,30,24,,,,0,54,45.38%,119,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
36 36 SEAFIELD PRIMARY SCHOOL,11,86,,,,0,97,58.79%,165,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
37 37 SEAFIELD PRIMARY SCHOOL,40,77,,,,4,121,55.00%,220,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
38 38 SEAFIELD PRIMARY SCHOOL,17,37,,,,1,55,44.35%,124,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
39 39 SEAFIELD PRIMARY SCHOOL,14,14,,,,0,28,50.00%,56,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
40 40 PEAR TREE GROVE PRIMARY SCHOOL,31,48,,,,1,80,55.17%,145,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
41 41 PEAR TREE GROVE PRIMARY SCHOOL,30,41,,,,0,71,54.62%,130,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
42 42 ROSE HILL PRIMARY SCHOOL,22,11,,,,0,33,54.10%,61,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
43 43 TROJA PRIMARY & JUNIOR HIGH SCHOOL,53,28,,,,0,81,55.10%,147,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
44 44 ROSE HILL PRIMARY SCHOOL,48,14,,,,1,63,55.26%,114,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
45 45 HAMWALK PRIMARY SCHOOL,30,14,,,,1,45,50.00%,90,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
46 46 ROSE HILL PRIMARY SCHOOL,58,9,,,,0,67,53.60%,125,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
EPM 47 47 MT. HERMON PRIMARY SCHOOL,176,186,,,,1,363,533.82%,68,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
48 48 CEDAR VALLEY PRIMARY SCHOOL,56,184,,,,2,242,59.46%,407,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
49 49 REDWOOD PRIMARY SCHOOL,51,160,,,,2,213,54.48%,391,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
50 50 BERWICK PRIMARY SCHOOL,80,67,,,,1,148,46.39%,319,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
51 51 RIVERSDALE HEALTH CENTRE,63,112,,,,1,176,50.29%,350,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
52 52 BERWICK PRIMARY SCHOOL,65,108,,,,2,175,51.17%,342,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
53 53 SHILOH APOSTOLIC CHURCH,44,81,,,,0,125,55.31%,226,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
54 54 RIVERSDALE HEALTH CENTRE,71,112,,,,1,184,48.81%,377,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
55 55 RIVERSDALE HEALTH CENTRE,67,86,,,,2,155,47.55%,326,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
56 56 RIVERSDALE HEALTH CENTRE,69,87,,,,0,156,51.15%,305,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
57 57 RIVERSDALE HEALTH CENTRE,101,64,,,,1,166,41.60%,399,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
58 58 RIVERSDALE HEALTH CENTRE,25,15,,,,0,40,36.70%,109,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
59 59 MT. HERMON PRIMARY SCHOOL,57,11,,,,0,68,56.67%,120,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
60 60 MT. HERMON PRIMARY SCHOOL,40,24,,,,0,64,55.17%,116,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
61 61 MT. HERMON PRIMARY SCHOOL,28,44,,,,1,73,50.69%,144,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
62 62 HAREWOOD PRIMARY SCHOOL,61,82,,,,0,143,51.62%,277,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
63 63 TROJA PRIMARY & JUNIOR HIGH SCHOOL,29,30,,,,0,59,45.74%,129,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
64 64 TROJA PRIMARY & JUNIOR HIGH SCHOOL,19,12,,,,1,32,38.10%,84,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
65 65 TROJA PRIMARY & JUNIOR HIGH SCHOOL,78,53,,,,0,131,41.99%,312,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
66 66 TROJA PRIMARY & JUNIOR HIGH SCHOOL,65,35,,,,1,101,55.49%,182,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
67 67 HAREWOOD PRIMARY SCHOOL,15,33,,,,0,48,49.48%,97,ST. CATHERINE NORTH EASTERN (60),TROJA (30),
68 68 HAREWOOD PRIMARY SCHOOL,26,71,,,,3,100,39.53%,253,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
69 69 HAREWOOD PRIMARY SCHOOL,54,80,,,,1,135,53.36%,253,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
70 70 BERRY HILL  PRIMARY SCHOOL,13,31,,,,0,44,32.35%,136,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
71 71 BERRY HILL PRIMARY SCHOOL,24,21,,,,0,45,45.00%,100,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
72 72 BERRY HILL  PRIMARY SCHOOL,30,27,,,,0,57,51.35%,111,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
73 73 COCOA WALK BASIC SCHOOL,62,32,,,,1,95,48.72%,195,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
EPM 74 74 COCOA WALK BASIC SCHOOL,60,66,,,,0,126,121.15%,104,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
75 75 OMEALLY A.M.E CHURCH,15,7,,,,1,23,32.39%,71,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
76 76 FREEDOM BASIC SCHOOL,20,22,,,,3,45,43.69%,103,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
77 77 FREEDOM BASIC SCHOOL,41,27,,,,3,71,51.45%,138,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
78 78 FREEDOM BASIC SCHOOL,32,31,,,,0,63,53.85%,117,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
79 79 BERRY HILL  PRIMARY SCHOOL,60,21,,,,1,82,53.95%,152,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
80 80 GLENGOFFE HIGH SCHOOL,58,37,,,,0,95,57.93%,164,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
81 81 GLENGOFFE HIGH SCHOOL,31,60,,,,1,92,52.57%,175,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
82 82 GLENGOFFE HIGH SCHOOL,88,110,,,,2,200,51.28%,390,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
83 83 MT. INDUSTRY PRIMARY  SCHOOL,29,53,,,,0,82,52.90%,155,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
84 84 MT. INDUSTRY PRIMARY  SCHOOL,53,28,,,,0,81,40.91%,198,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
85 85 MT. INDUSTRY PRIMARY  SCHOOL,76,20,,,,0,96,49.48%,194,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
86 86 MT. INDUSTRY PRIMARY  SCHOOL,38,12,,,,0,50,37.04%,135,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
87 87 MT. INDUSTRY HEALTH CENTRE,14,85,,,,1,100,54.95%,182,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
88 88 OMEALLY A.M.E CHURCH,19,44,,,,2,65,38.92%,167,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
89 89 SARGANVILLE METHODIST CHURCH,42,85,,,,3,130,50.78%,256,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
90 90 SARGANVILLE METHODIST CHURCH,33,74,,,,2,109,43.08%,253,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
